route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
ROUTE_880801,880772,880815,,,,880814,0,
ROUTE_880801,880772,882129,,,,880814,0,
ROUTE_880801,880772,882130,,,,880814,0,
ROUTE_880801,880772,882131,,,,880814,0,
ROUTE_880801,880772,882132,,,,880814,0,
ROUTE_880801,881397,882133,,,,880814,0,
ROUTE_880801,881444,882134,,,,880814,0,
ROUTE_880747,880772,882217,,,,882188,0,
ROUTE_880747,880772,882218,,,,882188,0,
ROUTE_880747,880772,882219,,,,882188,0,
ROUTE_880747,880772,882220,,,,882188,0,
ROUTE_880747,880772,882221,,,,882188,0,
ROUTE_880747,881397,882222,,,,882188,0,
ROUTE_880747,881397,882223,,,,882188,0,
LTFRB_PUB1138,724594,724597,,,,,0,
LTFRB_PUJ2492,724594,724598,,,,,0,
LTFRB_PUJ2365,724594,724599,,,,,0,
LTFRB_PUJ2429,724594,724600,,,,,0,
LTFRB_PUJ1698,724594,724601,,,,,0,
LTFRB_PUJ2293,724594,724602,,,,,0,
LTFRB_PUJ2241,724594,724603,,,,,0,
LTFRB_PUJ2085,724594,724604,,,,,0,
LTFRB_PUJ1575,724594,724605,,,,,0,
LTFRB_PUJ1162,724594,724606,,,,,0,
LTFRB_PUJ2519,724594,724607,,,,,0,
LTFRB_PUB1192,724594,724608,,,,,0,
LTFRB_PUB1001,724594,724609,,,,,0,
LTFRB_PUB1067,724594,724610,,,,,0,
LTFRB_PUJ1271,724594,724611,,,,,0,
LTFRB_PUB1197,724594,724612,,,,,0,
LTFRB_PUJ2159,724594,724613,,,,,0,
LTFRB_PUB1096,724594,724614,,,,,0,
LTFRB_PUJ1815,724594,724615,,,,,0,
LTFRB_PUJ1253,724594,724616,,,,,0,
LTFRB_PUJ2372,724594,724617,,,,,0,
LTFRB_PUJ2133,724594,724618,,,,,0,
LTFRB_PUJ2202,724594,724619,,,,,0,
LTFRB_PUJ2351,724594,724620,,,,,0,
LTFRB_PUJ1745,724594,724621,,,,,0,
LTFRB_PUJ1922,724594,724622,,,,,0,
LTFRB_PUJ1116,724594,724623,,,,,0,
LTFRB_PUJ1434,724594,724624,,,,,0,
LTFRB_PUJ1190,724594,724625,,,,,0,
LTFRB_PUJ1756,724594,724626,,,,,0,
LTFRB_PUJ1214,724594,724627,,,,,0,
LTFRB_PUB1073,724594,724628,,,,,0,
LTFRB_PUJ1415,724594,724629,,,,,0,
LTFRB_PUJ1142,724594,724630,,,,,0,
LTFRB_PUJ1007,724594,724631,,,,884357,0,
LTFRB_PUJ1108,724594,724632,,,,,0,
LTFRB_PUJ2018,724594,724633,,,,,0,
LTFRB_PUJ1373,724594,724634,,,,,0,
LTFRB_PUJ1536,724594,724635,,,,,0,
LTFRB_PUJ1314,724594,724636,,,,,0,
LTFRB_PUJ2278,724594,724637,,,,,0,
LTFRB_PUJ2306,724594,724638,,,,,0,
LTFRB_PUJ2027,724594,724639,,,,,0,
LTFRB_PUJ1370,724594,724640,,,,,0,
LTFRB_PUJ1293,724594,724641,,,,,0,
LTFRB_PUJ1033,724594,724642,,,,,0,
LTFRB_PUJ1915,724594,724643,,,,,0,
LTFRB_PUJ2302,724594,724644,,,,,0,
LTFRB_PUJ1906,724594,724645,,,,,0,
LTFRB_PUJ1339,724594,724646,,,,,0,
LTFRB_PUJ1973,724594,724647,,,,,0,
LTFRB_PUJ1523,724594,724648,,,,,0,
LTFRB_PUJ2026,724594,724649,,,,,0,
LTFRB_PUJ2012,724594,724650,,,,,0,
LTFRB_PUB1194,724594,724651,,,,,0,
LTFRB_PUJ1172,724594,724652,,,,,0,
LTFRB_PUJ2494,724594,724653,,,,,0,
LTFRB_PUJ1020,724594,724654,,,,,0,
LTFRB_PUJ1818,724594,724655,,,,,0,
LTFRB_PUJ1782,724594,724656,,,,,0,
LTFRB_PUJ2419,724594,724657,,,,,0,
LTFRB_PUJ1472,724594,724658,,,,,0,
LTFRB_PUJ1531,724594,724659,,,,,0,
LTFRB_PUJ2244,724594,724660,,,,,0,
LTFRB_PUJ2330,724594,724661,,,,,0,
LTFRB_PUB1146,724594,724662,,,,,0,
LTFRB_PUJ1638,724594,724663,,,,,0,
LTFRB_PUJ1525,724594,724664,,,,,0,
LTFRB_PUJ1793,724594,724665,,,,,0,
LTFRB_PUJ1887,724594,724666,,,,,0,
LTFRB_PUJ1223,724594,724667,,,,,0,
LTFRB_PUB1150,724594,724668,,,,,0,
LTFRB_PUJ1928,724594,724669,,,,,0,
LTFRB_PUB1181,724594,724670,,,,,0,
LTFRB_PUJ2462,724594,724671,,,,,0,
LTFRB_PUJ1072,724594,724672,,,,,0,
LTFRB_PUJ1174,724594,724673,,,,,0,
LTFRB_PUJ2559,724594,724674,,,,,0,
LTFRB_PUJ1294,724594,724675,,,,,0,
LTFRB_PUJ1580,724594,724676,,,,,0,
LTFRB_PUJ2280,724594,724677,,,,,0,
LTFRB_PUJ1300,724594,724678,,,,,0,
LTFRB_PUJ1610,724594,724679,,,,,0,
LTFRB_PUB1085,724594,724680,,,,,0,
LTFRB_PUJ1741,724594,724681,,,,,0,
LTFRB_PUJ2605,724594,724682,,,,,0,
LTFRB_PUB1142,724594,724683,,,,,0,
LTFRB_PUJ1169,724594,724684,,,,,0,
LTFRB_PUJ2272,724594,724685,,,,,0,
LTFRB_PUJ2590,724594,724686,,,,,0,
LTFRB_PUJ1291,724594,724687,,,,,0,
LTFRB_PUJ1454,724594,724688,,,,,0,
LTFRB_PUJ2141,724594,724689,,,,,0,
LTFRB_PUJ2496,724594,724690,,,,,0,
LTFRB_PUJ1845,724594,724691,,,,,0,
LTFRB_PUJ2392,724594,724692,,,,,0,
LTFRB_PUJ1457,724594,724693,,,,,0,
LTFRB_PUJ1925,724594,724694,,,,,0,
LTFRB_PUJ2299,724594,724695,,,,,0,
LTFRB_PUJ1238,724594,724696,,,,,0,
LTFRB_PUJ1312,724594,724697,,,,,0,
